weight,height,G,AB,HR
180.0,72.0,122,468.0,13.0
180.0,72.0,153,602.0,27.0
180.0,72.0,153,609.0,26.0
180.0,72.0,151,615.0,44.0
180.0,72.0,153,601.0,30.0
180.0,72.0,154,629.0,39.0
180.0,72.0,153,590.0,40.0
180.0,72.0,155,603.0,34.0
180.0,72.0,156,592.0,45.0
180.0,72.0,161,631.0,44.0
180.0,72.0,145,570.0,24.0
180.0,72.0,150,570.0,32.0
180.0,72.0,158,603.0,44.0
180.0,72.0,155,600.0,39.0
180.0,72.0,160,606.0,29.0
180.0,72.0,147,547.0,44.0
180.0,72.0,150,516.0,38.0
180.0,72.0,139,495.0,47.0
180.0,72.0,129,449.0,34.0
180.0,72.0,120,392.0,40.0
180.0,72.0,112,340.0,20.0
180.0,72.0,137,465.0,12.0
180.0,72.0,85,271.0,10.0
190.0,75.0,141,334.0,8.0
190.0,75.0,72,135.0,1.0
190.0,75.0,8,16.0,0.0
190.0,75.0,98,283.0,1.0
190.0,75.0,49,60.0,1.0
190.0,75.0,44,63.0,2.0
190.0,75.0,25,53.0,0.0
190.0,75.0,49,5.0,0.0
190.0,75.0,32,0.0,0.0
184.0,73.0,1,1.0,0.0
184.0,73.0,9,17.0,0.0
184.0,73.0,5,3.0,0.0
192.0,72.0,11,45.0,0.0
192.0,72.0,1,4.0,0.0
170.0,71.0,3,10.0,0.0
170.0,71.0,25,92.0,0.0
170.0,71.0,136,489.0,1.0
170.0,71.0,154,579.0,3.0
170.0,71.0,153,610.0,3.0
170.0,71.0,147,496.0,2.0
170.0,71.0,146,500.0,1.0
170.0,71.0,36,87.0,1.0
170.0,71.0,3,3.0,0.0
170.0,71.0,52,178.0,0.0
175.0,71.0,27,75.0,0.0
175.0,71.0,7,26.0,0.0
175.0,71.0,11,39.0,0.0
175.0,71.0,1,3.0,0.0
175.0,71.0,8,19.0,0.0
175.0,71.0,25,63.0,0.0
169.0,68.0,31,116.0,0.0
169.0,68.0,129,523.0,7.0
169.0,68.0,132,511.0,8.0
169.0,68.0,79,301.0,1.0
169.0,68.0,80,300.0,3.0
190.0,71.0,3,7.0,0.0
180.0,70.0,77,255.0,1.0
180.0,70.0,41,130.0,0.0
180.0,70.0,42,128.0,0.0
200.0,78.0,19,0.0,0.0
200.0,78.0,30,0.0,0.0
200.0,78.0,13,0.0,0.0
190.0,74.0,19,38.0,1.0
190.0,74.0,89,244.0,12.0
190.0,74.0,17,57.0,2.0
190.0,74.0,80,215.0,3.0
190.0,74.0,28,42.0,0.0
200.0,75.0,20,21.0,0.0
180.0,71.0,20,61.0,3.0
180.0,71.0,101,345.0,9.0
180.0,71.0,120,420.0,17.0
180.0,71.0,109,320.0,8.0
180.0,71.0,94,252.0,6.0
180.0,71.0,35,123.0,2.0
180.0,71.0,42,71.0,3.0
180.0,71.0,96,286.0,8.0
180.0,71.0,79,157.0,6.0
180.0,71.0,6,9.0,0.0
200.0,76.0,31,29.0,0.0
200.0,76.0,18,2.0,0.0
180.0,74.0,22,70.0,0.0
185.0,75.0,15,0.0,0.0
185.0,75.0,25,0.0,0.0
185.0,75.0,35,5.0,0.0
185.0,75.0,28,4.0,0.0
185.0,75.0,10,11.0,0.0
195.0,74.0,1,2.0,0.0
195.0,74.0,6,0.0,0.0
195.0,74.0,17,23.0,0.0
195.0,74.0,32,39.0,0.0
195.0,74.0,39,17.0,0.0
195.0,74.0,42,10.0,0.0
195.0,74.0,28,8.0,0.0
195.0,74.0,3,1.0,0.0
190.0,70.0,1,1.0,0.0
185.0,73.0,79,304.0,5.0
185.0,73.0,117,463.0,2.0
185.0,73.0,2,7.0,0.0
185.0,73.0,10,27.0,0.0
185.0,73.0,24,67.0,1.0
210.0,74.0,1,0.0,0.0
210.0,74.0,5,4.0,0.0
210.0,74.0,1,1.0,0.0
215.0,76.0,40,26.0,0.0
215.0,76.0,5,11.0,0.0
215.0,76.0,26,24.0,0.0
215.0,76.0,2,1.0,0.0
215.0,76.0,43,5.0,0.0
215.0,76.0,53,6.0,0.0
215.0,76.0,84,18.0,0.0
215.0,76.0,20,4.0,0.0
215.0,76.0,38,8.0,0.0
215.0,76.0,70,17.0,0.0
215.0,76.0,78,17.0,0.0
215.0,76.0,56,8.0,0.0
215.0,76.0,11,0.0,0.0
215.0,76.0,11,3.0,0.0
215.0,76.0,36,14.0,0.0
215.0,76.0,63,13.0,0.0
215.0,76.0,45,6.0,0.0
170.0,72.0,15,8.0,0.0
170.0,72.0,1,0.0,0.0
200.0,72.0,47,140.0,4.0
200.0,72.0,12,32.0,1.0
200.0,72.0,4,7.0,0.0
200.0,74.0,6,10.0,0.0
200.0,74.0,5,12.0,0.0
200.0,74.0,3,4.0,0.0
190.0,73.0,16,47.0,2.0
190.0,73.0,37,83.0,2.0
190.0,73.0,57,102.0,2.0
190.0,73.0,91,184.0,1.0
190.0,73.0,53,115.0,1.0
190.0,73.0,41,101.0,2.0
190.0,73.0,97,208.0,1.0
185.0,72.0,8,24.0,0.0
185.0,72.0,38,44.0,0.0
185.0,72.0,67,150.0,3.0
185.0,72.0,10,10.0,0.0
185.0,72.0,71,158.0,2.0
185.0,72.0,119,448.0,15.0
185.0,72.0,17,42.0,0.0
185.0,72.0,115,423.0,6.0
185.0,72.0,118,309.0,6.0
185.0,72.0,4,3.0,0.0
170.0,69.0,3,1.0,0.0
185.0,72.0,6,9.0,0.0
210.0,72.0,15,22.0,0.0
210.0,72.0,59,188.0,3.0
210.0,72.0,151,497.0,17.0
210.0,72.0,152,546.0,20.0
210.0,72.0,154,576.0,25.0
210.0,72.0,162,588.0,31.0
210.0,72.0,157,572.0,20.0
210.0,72.0,158,577.0,20.0
210.0,72.0,159,574.0,30.0
210.0,72.0,162,588.0,24.0
210.0,72.0,98,339.0,8.0
210.0,72.0,58,209.0,7.0
210.0,72.0,158,605.0,16.0
210.0,72.0,156,609.0,20.0
210.0,72.0,152,563.0,15.0
210.0,72.0,154,573.0,20.0
210.0,72.0,142,502.0,8.0
210.0,72.0,8,24.0,0.0
210.0,72.0,92,195.0,3.0
160.0,68.0,9,28.0,1.0
185.0,72.0,8,20.0,0.0
185.0,72.0,137,512.0,1.0
185.0,72.0,25,87.0,0.0
185.0,72.0,18,34.0,0.0
185.0,72.0,6,7.0,0.0
185.0,72.0,5,9.0,0.0
185.0,72.0,39,43.0,0.0
185.0,72.0,36,8.0,0.0
195.0,74.0,17,18.0,0.0
195.0,74.0,25,6.0,0.0
195.0,74.0,50,17.0,0.0
195.0,74.0,50,20.0,0.0
195.0,74.0,62,1.0,0.0
195.0,74.0,39,0.0,0.0
195.0,74.0,20,3.0,0.0
195.0,74.0,65,0.0,0.0
195.0,74.0,25,0.0,0.0
210.0,74.0,21,28.0,0.0
210.0,74.0,68,14.0,0.0
210.0,74.0,21,5.0,0.0
210.0,74.0,59,7.0,0.0
210.0,74.0,17,0.0,0.0
215.0,76.0,29,19.0,0.0
215.0,76.0,49,19.0,0.0
215.0,76.0,38,30.0,0.0
215.0,76.0,37,9.0,0.0
202.0,73.0,2,5.0,0.0
202.0,73.0,3,1.0,0.0
165.0,70.0,26,4.0,0.0
165.0,70.0,48,1.0,0.0
165.0,70.0,27,2.0,0.0
165.0,70.0,6,0.0,0.0
215.0,77.0,3,0.0,0.0
215.0,77.0,8,17.0,0.0
215.0,77.0,46,12.0,0.0
134.0,66.0,17,25.0,0.0
134.0,66.0,33,30.0,0.0
134.0,66.0,5,5.0,0.0
140.0,67.0,12,20.0,0.0
140.0,67.0,39,74.0,0.0
140.0,67.0,72,163.0,0.0
140.0,67.0,5,8.0,0.0
140.0,67.0,3,2.0,0.0
140.0,67.0,49,169.0,0.0
235.0,80.0,34,0.0,0.0
235.0,80.0,43,0.0,0.0
175.0,72.0,11,19.0,0.0
175.0,72.0,12,35.0,0.0
175.0,72.0,3,5.0,1.0
175.0,72.0,133,386.0,9.0
175.0,72.0,139,538.0,11.0
175.0,72.0,109,382.0,6.0
175.0,72.0,155,569.0,9.0
175.0,72.0,157,582.0,7.0
175.0,72.0,17,52.0,0.0
175.0,72.0,105,370.0,4.0
175.0,72.0,28,98.0,0.0
175.0,72.0,89,316.0,3.0
175.0,72.0,74,208.0,2.0
175.0,72.0,126,432.0,5.0
175.0,72.0,7,27.0,0.0
154.0,70.0,18,76.0,0.0
182.0,70.0,38,12.0,0.0
182.0,70.0,61,10.0,0.0
182.0,70.0,70,32.0,0.0
182.0,70.0,65,29.0,0.0
182.0,70.0,65,16.0,0.0
182.0,70.0,3,0.0,0.0
185.0,71.0,1,1.0,0.0
185.0,71.0,4,7.0,0.0
185.0,71.0,25,39.0,0.0
185.0,71.0,34,83.0,0.0
185.0,71.0,40,103.0,0.0
185.0,71.0,28,53.0,0.0
185.0,71.0,43,114.0,0.0
185.0,71.0,40,97.0,1.0
185.0,71.0,40,85.0,0.0
185.0,71.0,16,22.0,0.0
185.0,71.0,3,9.0,0.0
185.0,71.0,34,92.0,0.0
185.0,71.0,35,89.0,1.0
185.0,71.0,25,63.0,0.0
185.0,71.0,27,56.0,1.0
185.0,71.0,26,55.0,0.0
185.0,71.0,9,11.0,0.0
185.0,71.0,33,31.0,0.0
185.0,71.0,19,9.0,0.0
185.0,73.0,5,13.0,0.0
185.0,73.0,2,5.0,0.0
185.0,73.0,20,54.0,0.0
185.0,73.0,24,27.0,0.0
185.0,73.0,11,13.0,0.0
185.0,73.0,43,107.0,1.0
185.0,73.0,84,227.0,0.0
185.0,73.0,78,232.0,1.0
168.0,71.0,2,3.0,0.0
165.0,72.0,1,3.0,0.0
165.0,72.0,4,0.0,0.0
200.0,74.0,15,24.0,2.0
160.0,70.0,94,311.0,4.0
160.0,70.0,81,217.0,4.0
160.0,70.0,87,262.0,1.0
160.0,70.0,107,277.0,0.0
160.0,70.0,115,348.0,3.0
160.0,70.0,125,403.0,5.0
160.0,70.0,154,637.0,6.0
160.0,70.0,150,607.0,8.0
160.0,70.0,110,390.0,3.0
160.0,70.0,64,150.0,2.0
160.0,70.0,28,21.0,0.0
160.0,70.0,41,111.0,0.0
160.0,70.0,60,187.0,1.0
160.0,70.0,62,96.0,0.0
160.0,70.0,3,2.0,0.0
180.0,72.0,2,1.0,0.0
180.0,72.0,8,11.0,0.0
180.0,72.0,111,418.0,4.0
180.0,72.0,151,584.0,17.0
180.0,72.0,14,56.0,2.0
180.0,72.0,140,578.0,20.0
180.0,72.0,81,173.0,5.0
180.0,72.0,69,182.0,2.0
165.0,71.0,36,46.0,1.0
165.0,71.0,11,9.0,0.0
185.0,72.0,37,89.0,2.0
185.0,75.0,8,14.0,0.0
175.0,66.0,4,13.0,0.0
180.0,73.0,61,90.0,4.0
180.0,73.0,69,74.0,0.0
180.0,73.0,95,269.0,6.0
180.0,73.0,116,310.0,7.0
180.0,73.0,119,326.0,8.0
180.0,73.0,99,262.0,6.0
180.0,73.0,72,220.0,2.0
180.0,73.0,30,66.0,1.0
160.0,69.0,5,11.0,0.0
160.0,69.0,56,208.0,0.0
160.0,69.0,34,118.0,0.0
190.0,72.0,1,2.0,0.0
170.0,74.0,4,2.0,0.0
170.0,74.0,26,30.0,0.0
180.0,69.0,3,6.0,0.0
180.0,69.0,55,66.0,3.0
180.0,69.0,25,29.0,0.0
180.0,69.0,2,2.0,0.0
180.0,69.0,15,15.0,0.0
185.0,72.0,8,1.0,0.0
165.0,72.0,11,23.0,0.0
180.0,74.0,8,14.0,0.0
180.0,74.0,58,112.0,2.0
180.0,74.0,54,121.0,2.0
151.0,65.0,11,44.0,0.0
151.0,65.0,95,311.0,4.0
151.0,65.0,117,418.0,1.0
151.0,65.0,149,627.0,2.0
151.0,65.0,154,624.0,0.0
151.0,65.0,146,647.0,0.0
151.0,65.0,135,539.0,0.0
151.0,65.0,74,196.0,0.0
151.0,65.0,137,570.0,0.0
151.0,65.0,143,608.0,1.0
151.0,65.0,31,127.0,0.0
151.0,65.0,8,30.0,0.0
151.0,65.0,137,538.0,1.0
151.0,65.0,87,278.0,0.0
158.0,69.0,25,56.0,0.0
158.0,69.0,39,55.0,0.0
158.0,69.0,28,25.0,0.0
158.0,69.0,88,259.0,0.0
180.0,75.0,18,0.0,0.0
180.0,75.0,69,6.0,0.0
180.0,75.0,74,2.0,0.0
180.0,75.0,63,1.0,0.0
180.0,75.0,52,2.0,0.0
180.0,75.0,66,2.0,0.0
180.0,75.0,43,39.0,0.0
180.0,75.0,46,25.0,0.0
180.0,75.0,66,1.0,0.0
180.0,75.0,42,0.0,0.0
180.0,75.0,16,0.0,0.0
180.0,76.0,13,13.0,0.0
180.0,76.0,4,1.0,0.0
180.0,76.0,15,15.0,0.0
180.0,76.0,32,57.0,0.0
180.0,76.0,1,2.0,0.0
185.0,76.0,9,0.0,0.0
185.0,76.0,30,3.0,0.0
185.0,76.0,5,7.0,0.0
185.0,74.0,3,2.0,0.0
185.0,74.0,2,3.0,0.0
185.0,74.0,6,1.0,0.0
210.0,76.0,102,372.0,8.0
210.0,76.0,113,395.0,10.0
210.0,76.0,117,378.0,13.0
210.0,76.0,157,590.0,18.0
210.0,76.0,133,500.0,23.0
210.0,76.0,84,288.0,15.0
210.0,76.0,137,454.0,38.0
210.0,76.0,65,209.0,12.0
210.0,76.0,105,320.0,19.0
210.0,76.0,115,404.0,25.0
210.0,76.0,138,514.0,25.0
210.0,76.0,152,562.0,35.0
210.0,76.0,121,391.0,29.0
210.0,76.0,97,283.0,13.0
210.0,76.0,118,366.0,21.0
210.0,76.0,122,349.0,14.0
210.0,76.0,83,231.0,18.0
175.0,72.0,16,28.0,0.0
175.0,72.0,85,199.0,1.0
175.0,72.0,93,292.0,1.0
175.0,72.0,10,12.0,0.0
175.0,72.0,4,3.0,0.0
200.0,77.0,10,20.0,0.0
200.0,77.0,3,11.0,0.0
200.0,77.0,44,94.0,1.0
200.0,77.0,13,19.0,0.0
160.0,68.0,25,118.0,0.0
160.0,68.0,10,51.0,0.0
160.0,68.0,31,152.0,1.0
160.0,68.0,50,213.0,0.0
160.0,68.0,69,310.0,0.0
160.0,68.0,32,142.0,0.0
160.0,68.0,57,245.0,0.0
188.0,73.0,7,25.0,1.0
188.0,73.0,1,2.0,0.0
